,Participant_ID,Label,PennElementName.,Value.,Translation,Ideophone Count,Adjective Count,Adverb Count
43,Participant_005,Filler,textResponse,自転車を引いて歩いている男の子が立ち止まって後ろを振り返ると、帽子を持った男の子がその子の方に向かって歩いてきている。2人の男の子が後ろからその様子を見ている。,"When a boy walking with a bicycle stops and looks back, he sees a boy holding a hat walking towards him. Two boys are watching from behind.",0,0,0
44,Participant_005,PassItem,textResponse,自転車を弾いて歩いている男の子が後ろを振り返ると、帽子を持った男の子がその子に向かって歩いて行った。後ろに2人の男の子たちが後ろで見ている。,"When the boy who was riding his bicycle looked back, he saw a boy carrying a hat walking towards him. Two boys are watching from behind.",0,0,0
45,Participant_005,PassItem,textResponse,,,,,
46,Participant_005,ActiveItem,textResponse,,,,,
47,Participant_005,ActiveItem,textResponse,,,,,
48,Participant_005,Filler,textResponse,,,,,
49,Participant_005,Filler,textResponse,,,,,
50,Participant_005,Filler,textResponse,,,,,
51,Participant_006,AgeQ,Age,28,,,,
52,Participant_006,JapanQ,Japan,24,,,,
53,Participant_006,Filler,textResponse,自転車を引いて歩いている男の子が後ろを振り返ると、帽子を持った別の男の子がその子に向かって歩いてきている。その様子を後ろに立って見ている男の子が二人いる。,"When a boy walking with a bicycle looks back, he sees another boy holding a hat walking toward him. There are two boys standing behind them watching the scene.",0,0,0
54,Participant_006,Filler,textResponse,男の子が自転車から転倒して足を払っている。顔を見上げると、３人の男の子がいて、そのうちの一人は卓球のラケットのようなものを持っている。,"A boy falls off his bicycle and dusts off his leg. When I looked up, I saw three boys, one of whom was holding something like a table tennis racket.",0,0,0
55,Participant_006,PassItem,textResponse,気が生い茂っている草原の中で、鶏の鳴き声が何度も聞こえる。,I can hear the chirping of birds over and over again in the overgrown grassland.,0,0,0
56,Participant_006,ActiveItem,textResponse,男の人がロープを使って山羊を引いて籠のそばを歩いている。,"A man is walking by a basket, pulling a goat with a rope.",0,0,0
57,Participant_006,Filler,textResponse,男の子二人が馬に乗って反対方向からお互いに向かって走っている。すれ違ったときに一人の男の子の帽子が脱げてしまった。,"Two boys are riding horses and running towards each other from opposite directions. As we passed each other, one boy's hat fell off.",0,0,0
58,Participant_006,ActiveItem,textResponse,赤いハンカチを首に巻いた男性が、自分の着ているエプロンの上に集めたリンゴを机の上にほかのリンゴと一緒に並べている。,A man wearing a red handkerchief around his neck is collecting apples on his apron and arranging them with other apples on his desk.,0,1,0
59,Participant_006,PassItem,textResponse,３人の男の子が奥に向かって道を歩いている。周りには茂みがあり、虫の音が聞こえる。,Three boys are walking down the road towards the back. There are bushes around and you can hear the sounds of insects.,0,0,0
60,Participant_006,Filler,textResponse,一人の男のは自転車を支えているが、ほかの絵３人の男の子は籠に洋ナシを入れるのを手伝っている。,"One boy is supporting the bicycle, while the other three boys are helping to put pears in the basket.",0,0,0
